,open,high,low,close,volume
2021-04-30,1.3978,1.6397,1.3745,1.5988,1429394131.02
2021-05-01,1.5989,1.6666,1.5226,1.651,701328204.71
2021-05-02,1.651,1.658,1.525,1.5605,602425194.39
2021-05-03,1.5605,1.6216,1.47,1.5546,670988111.68
2021-05-04,1.5546,1.558,1.32,1.3877,1375223308.72
2021-05-05,1.3878,1.624,1.366,1.6133,1261641294.96
2021-05-06,1.6137,1.7658,1.521,1.6028,1507415092.61
2021-05-07,1.6028,1.695,1.505,1.5793,894697893.67
2021-05-08,1.5795,1.6277,1.5404,1.5611,514586255.38
2021-05-09,1.5611,1.5968,1.4249,1.5345,726954201.32
2021-05-10,1.5343,1.627,1.214,1.3906,1154086820.05
2021-05-11,1.391,1.4905,1.3555,1.4786,724101053.89
2021-05-12,1.4788,1.547,1.235,1.2691,1028881609.0
2021-05-13,1.269,1.389,1.2,1.364,1308704814.37
2021-05-14,1.3644,1.4488,1.321,1.4,772801586.76
2021-05-15,1.3998,1.5869,1.3211,1.4904,1495464769.52
2021-05-16,1.4911,1.6131,1.3373,1.4496,1498147985.65
2021-05-17,1.4496,1.565,1.3242,1.4946,1560737399.7
2021-05-18,1.4952,1.705,1.4698,1.5889,1813933407.63
2021-05-19,1.5893,1.6448,0.85,1.0568,3180237280.29
2021-05-20,1.0565,1.2664,0.9,1.1795,1974341688.46
2021-05-21,1.1802,1.2194,0.8641,1.0062,1813489499.17
2021-05-22,1.0062,1.0162,0.816,0.9052,1478148766.91
2021-05-23,0.9052,0.9679,0.65,0.7898,1976494217.2
2021-05-24,0.7899,0.997,0.7537,0.993,1613054853.94
2021-05-25,0.9934,1.07,0.8791,0.9746,1654728049.91
2021-05-26,0.9747,1.0698,0.9461,1.0316,1160288119.63
2021-05-27,1.0316,1.0423,0.9322,0.9747,997129594.42
2021-05-28,0.9747,0.9847,0.8445,0.8985,1220369622.06
2021-05-29,0.8985,0.9413,0.7911,0.8318,980984330.42
2021-05-30,0.8319,0.9337,0.7974,0.9058,837581783.3
2021-05-31,0.9058,1.0495,0.8789,1.0409,1221688769.45
2021-06-01,1.0409,1.1,0.9742,1.0108,1130390772.85
2021-06-02,1.0108,1.0498,0.9793,1.0241,673790276.52
2021-06-03,1.0241,1.0789,1.0069,1.045,701176435.11
2021-06-04,1.0453,1.0466,0.9156,0.9683,814525376.26
2021-06-05,0.9683,0.9973,0.8921,0.923,621966894.8
2021-06-06,0.923,0.9493,0.917,0.947,395443235.74
2021-06-07,0.9469,0.976,0.838,0.8618,673906993.46
2021-06-08,0.8619,0.8861,0.7838,0.8731,989287175.65
2021-06-09,0.873,0.9218,0.83,0.9218,798994471.7
2021-06-10,0.9218,0.9298,0.8522,0.8686,592646634.43
2021-06-11,0.8686,0.88,0.8335,0.8471,384826199.07
2021-06-12,0.8469,0.8479,0.8054,0.8326,375425465.13
2021-06-13,0.8325,0.8883,0.817,0.8832,344882480.06
2021-06-14,0.8833,0.93,0.8628,0.8906,441724628.58
